1.033,-0.062,0.355,59.57,14.832,27.71,4.702,-71.06,134.802
0.936,-0.126,0.329,107.483,-4.028,44.739,2.851,-70.757,140.845
0.932,-0.04,0.316,118.408,-13.55,46.753,1.258,-71.488,148.348
0.975,-0.017,0.316,118.591,1.16,43.335,0.483,-71.741,155.83
0.985,-0.038,0.286,115.967,10.437,41.077,-0.115,-71.488,162.636
0.978,-0.108,0.261,120.422,8.057,42.358,-0.797,-71.186,169.316
0.972,-0.112,0.275,106.323,10.132,38.574,-1.577,-70.779,175.622
0.94,-0.038,0.241,92.224,12.512,32.959,-1.928,-70.312,-178.77
0.876,-0.083,0.261,74.585,8.362,29.053,-2.318,-69.917,-174.397
1.03,-0.115,0.289,65.552,8.179,34.18,-3.516,-69.478,-169.854
1,0.002,0.349,75.439,-8.24,39.917,-5.197,-69.401,-164.268
0.976,0.149,0.379,92.468,2.197,39.429,-5.9,-69.686,-157.989
1.013,0.179,0.41,116.394,-10.437,42.236,-5.131,-69.263,-152.562
0.93,0.11,0.373,153.198,-1.892,53.162,-4.164,-69.5,-145.437
0.907,0.1,0.321,138.855,0.305,50.11,-3.175,-69.263,-138.181
0.915,0.065,0.256,138.794,-6.165,46.387,-2.021,-69.456,-131.1
0.951,0.103,0.255,101.501,11.414,35.278,-0.901,-69.28,-125.354
0.96,0.147,0.256,112.732,14.282,35.645,0.555,-68.632,-120.256
0.95,0.117,0.266,123.84,5.493,39.124,2.477,-68.307,-114.758
0.901,0.081,0.285,87.097,-3.845,33.203,3.636,-68.5,-109.655
0.952,0.059,0.278,56.946,-8.85,28.32,3.488,-69.049,-105.298
0.965,0.115,0.289,52.795,-13.611,25.696,3.142,-69.675,-101.382
0.891,0.089,0.292,77.148,0.366,28.015,3.268,-70.137,-97.273
0.87,0.09,0.311,78.918,-3.845,28.381,3.658,-70.285,-92.851
0.839,0.126,0.323,91.003,-10.315,28.32,4.537,-70.785,-88.369
1.01,0.075,0.38,68.787,-6.226,16.052,5.724,-71.082,-85.029
1.068,-0.053,0.355,57.617,-14.954,13.672,6.938,-71.713,-82.711
1.062,-0.08,0.308,44.495,-5.615,14.221,6.943,-72.4,-80.502
0.962,-0.107,0.285,32.593,2.502,12.634,6.048,-72.493,-78.162
0.938,-0.014,0.32,35.461,2.747,12.939,5.109,-72.405,-75.861
0.91,-0.085,0.294,31.25,-3.54,11.169,4.499,-72.576,-73.614
0.963,-0.163,0.333,21.606,1.221,8.423,3.417,-72.581,-71.807
1.11,-0.165,0.433,50.476,-3.052,16.052,2.263,-72.493,-69.802
1.02,-0.005,0.34,63.599,11.414,18.433,2.098,-72.328,-66.44
0.938,0.098,0.309,86.792,18.494,29.724,2.153,-71.351,-62.556
0.988,0.227,0.294,115.295,16.357,37.17,2.999,-70.395,-56.986
0.912,0.207,0.266,124.817,4.517,39.062,4.669,-70.23,-51.196
0.854,0.105,0.233,118.225,25.574,33.264,6.383,-69.45,-45.709
0.951,0.036,0.276,127.991,19.287,37.537,7.635,-68.736,-40.336
0.97,0.087,0.266,98.389,21.118,32.104,8.663,-68.275,-34.942
0.971,0.146,0.235,50.293,23.56,24.048,9.025,-67.56,-30.536
0.924,0.157,0.301,72.144,16.357,29.358,8.915,-66.764,-26.554
0.899,0.158,0.305,90.759,10.742,33.264,9.855,-66.495,-21.984
0.895,0.178,0.307,76.233,9.827,30.945,10.761,-66.374,-17.468
0.894,0.196,0.308,89.294,7.568,34.79,11.541,-66.286,-12.958
1.013,0.164,0.35,99.365,-4.089,35.95,12.799,-66.528,-8.251
0.828,0.05,0.31,112.915,-10.132,40.588,14.277,-67.451,-3.351
0.83,0.023,0.254,44.312,-29.602,33.325,14.079,-69,1.082
1.058,0.031,0.365,-14.832,-44.617,14.709,12.31,-71.362,3.323
1.056,-0.046,0.416,33.386,-41.199,21.851,11.321,-73.938,4.96
1.016,-0.089,0.358,63.354,-17.883,35.156,8.124,-74.954,10.19
1.009,0.002,0.321,80.627,-16.296,31.616,5.422,-76.086,17.001
0.959,0.008,0.279,68.604,7.874,23.499,3.587,-76.113,22.956
0.986,-0.064,0.248,78.43,0.488,26.917,1.708,-75.916,28.504
0.959,-0.089,0.235,71.472,-3.54,25.208,-0.258,-76.064,34.118
0.955,-0.092,0.272,84.961,-2.869,27.466,-2.335,-76.042,39.803
0.995,-0.042,0.294,79.773,-4.333,23.926,-3.796,-76.163,45.549
1.03,-0.089,0.321,68.115,1.77,19.714,-4.724,-75.992,49.988
0.932,-0.081,0.267,74.219,8.362,27.222,-6.158,-75.58,54.58
